id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,5E-06,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,9.53E-06,-1.207E-05,-1.221E-05,1.7677953696022,-0.291751258517685,-2.64713117720139E-06,-5.929659164E-06,Alp,9,CMa,1,32263,Gl 244,22.824433121735,,-1.333,-1.523
30365,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-1.14E-05,2.059E-05,-1.049E-05,1.67530535199973,-0.919712774890268,9.69142547430555E-08,1.14755398E-07,Alp,,Car,1,30365,,13854.7916756672,,-0.547,-0.667
69451,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,14.26103,19.18241,11.2575,-1093.45,-1999.4,-5,-0.05,-0.307,K2IIIp,1.239,-8.823448,-5.932531,3.698938,-5.905E-05,3.22E-05,-0.00010473,3.73352902854209,0.334796218058621,-5.30119519003472E-06,-9.693364729E-06,Alp,16,Boo,1,69451,,115.557995540213,,,
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-7.22E-06,2.476E-05,2.491E-05,3.83817921177723,-1.06175317577042,-1.78323683168264E-05,2.336026238E-06,Alp-1,,Cen,1,71456,Gl 559,1.54312106565779,,0.113,-0.087
90979,91262,172167,7001,Gl 721,3Alp Lyr,Vega,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,4.76E-06,1.734E-05,5.9E-07,4.87356309550903,0.676903116397302,9.74572460652778E-07,1.393645406E-06,Alp,3,Lyr,1,90979,,49.934418872135,,,
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,1.92E-06,3.559E-05,-2.54E-06,1.3818164126488,0.802816392634111,3.66131291555556E-07,-2.070784673E-06,Alp,13,Aur,1,24549,Gl 194,139.31568029453,,,
24378,24436,34085,1713,,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,1.82E-06,2.121E-05,-3.77E-06,1.37243036932764,-0.143145630755865,9.06601582638889E-09,-2.714956E-09,Bet,19,Ori,1,24378,,51665.424256695,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,1.212E-05,2.89E-06,-1.792E-05,2.00408304124283,0.09119333187796,-3.47402939075694E-06,-5.015785376E-06,Alp,10,CMi,1,37173,Gl 280,7.44046366191919,,,
7574,7588,10144,472,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-5.84E-06,1.738E-05,-1.826E-05,0.426355065913764,-0.998969869241576,4.26733001625E-07,-1.94313323E-07,Alp,,Eri,1,7574,,1051.96187382322,Alp,0.487,0.427
